,cluster,size,icp55_shorpl,pim1_shorpl,avg_clust_coeff,avg_deg,avg_inner_deg,avg_outer_deg
0,0,8,5,5,0.7666666666666667,4.625,4.5,0.125
1,1,17,3,2,0.8881249469484767,19.0,12.705882352941176,6.294117647058823
2,2,6,4,2,0.7222222222222222,23.0,2.6666666666666665,20.333333333333332
3,3,90,3,1,0.714783125941114,30.92222222222222,23.133333333333333,7.788888888888889
4,4,5,4,0,0.0,7.0,0.4,6.6
5,5,49,3,1,0.8684750737741084,25.836734693877553,14.285714285714286,11.551020408163266
6,6,34,3,2,0.6622455399272008,11.558823529411764,5.117647058823529,6.4411764705882355
7,7,21,3,2,0.7163529592101022,13.428571428571429,8.0,5.428571428571429
8,8,24,3,2,0.6050919328492858,21.166666666666668,8.166666666666666,13.0
9,9,110,2,2,0.6736982252023381,20.30909090909091,13.909090909090908,6.4
