,protein,deg,closeness,betweeness,eigenvector,bridging,clustering_coefficient,cluster,cluster_size
1923,4932.YBR136W,78,0.2952983725135624,0.0027505076282746716,3.2487571728697895e-05,1.3413510780393178e-05,0.25274725274725274,47,66
1924,4932.YPL022W,44,0.27680311890838205,0.001103023264012316,1.6289094595899117e-05,1.0217807092728246e-05,0.33403805496828753,47,66
1925,4932.YHR154W,34,0.27287158492772995,0.0011532479327269593,3.1973121452429575e-05,2.055481109632938e-05,0.29590017825311943,47,66
1926,4932.YOR346W,17,0.25986632718014,3.0875010305097485e-05,1.2554548481604414e-05,2.864617256842953e-06,0.5367647058823529,47,66
1927,4932.YER179W,18,0.25013402772459215,0.00030632722465649285,3.309807581278064e-06,1.5339378477375823e-05,0.5032679738562091,102,20
1928,4932.YOR005C,24,0.2583860759493671,0.0002857963993380062,2.424181849412999e-06,9.56289004696951e-06,0.5362318840579711,75,8
1929,4932.YML095C,32,0.27570487928414655,0.0004781351257342276,1.5303859971979955e-05,1.0701326242894312e-05,0.4032258064516129,47,66
1930,4932.YDR386W,52,0.2701182697874452,0.0007720818705823268,7.680219726402288e-06,6.235086877527559e-06,0.3174962292609351,47,66
1931,4932.YPL167C,38,0.2720533111203665,0.0005504885372041235,2.061388793095122e-05,1.0125338836560681e-05,0.38264580369843526,47,66
1932,4932.YDR076W,12,0.24621183565774596,9.608925719699e-06,1.7658631757466846e-06,1.974419138064698e-06,0.7424242424242424,47,66
1933,4932.YLR234W,29,0.263557133634603,0.00014907616893445206,5.480540817677213e-06,5.343911846988748e-06,0.5024630541871922,47,66
1934,4932.YDR381W,51,0.2946855544527655,0.0024637210464043585,0.0005680402523596251,1.4390863849774405e-05,0.31058823529411766,152,13
1935,4932.YAR002W,26,0.2719626946456824,0.00032065761877628977,0.00023292734235951865,1.3612984455107568e-05,0.6461538461538462,95,57
1936,4932.YCL011C,6,0.25140481872065273,1.7241276292724686e-06,2.172119703706882e-05,7.450891016541591e-07,0.8,152,13
1937,4932.YDL084W,41,0.318696330991413,0.005033446019776617,0.0018512102550575873,6.429954647539468e-05,0.1378048780487805,152,13
1938,4932.YDL088C,32,0.27708492406888946,0.0001133032617269234,0.00018735985480745042,3.904175170378094e-06,0.7419354838709677,95,57
