,cluster,protein,degree,degree_centrality,eigenvector_centrality,betweenness_centrality
482,62,YHL013C,3,0.429,0.404,0.000
483,63,YJL002C,10,0.909,0.319,0.010
484,63,YOR103C,10,0.909,0.319,0.010
485,63,YDL232W,10,0.909,0.319,0.010
486,63,YEL002C,10,0.909,0.319,0.010
487,63,YGL022W,10,0.909,0.319,0.010
488,64,YER007W,7,0.700,0.338,0.008
489,64,YNL148C,7,0.700,0.338,0.008
490,64,YOR265W,8,0.800,0.361,0.039
491,64,YML085C,8,0.800,0.334,0.106
492,64,YOR349W,8,0.800,0.361,0.039
493,64,YML124C,8,0.800,0.345,0.082
494,65,YOR262W,1,1.000,0.707,0.000
495,65,YDR527W,1,1.000,0.707,0.000
496,66,YPL087W,9,0.692,0.297,0.026
497,66,YKR053C,9,0.692,0.298,0.025
498,66,YJL134W,9,0.692,0.298,0.025
499,66,YLR260W,10,0.769,0.318,0.042
500,66,YOR171C,10,0.769,0.318,0.042
501,67,YDL114W,1,1.000,0.707,0.000
502,67,YDR541C,1,1.000,0.707,0.000
503,68,YJL100W,7,0.438,0.320,0.001
504,68,YNL128W,6,0.375,0.285,0.000
505,68,YBR058C-A,5,0.312,0.138,0.000
506,68,YPL268W,7,0.438,0.320,0.001
507,68,YDR062W,5,0.312,0.138,0.000
508,68,YOR109W,7,0.438,0.320,0.001
509,68,YLR350W,5,0.312,0.138,0.000
510,68,YNL106C,7,0.438,0.320,0.001
511,68,YGR038W,5,0.312,0.138,0.000
512,68,YJR110W,6,0.375,0.285,0.000
513,68,YMR296C,5,0.312,0.138,0.000
514,69,YOR288C,5,0.185,0.140,0.001
515,69,YOL088C,6,0.222,0.160,0.002
516,69,YHR079C,5,0.185,0.151,0.003
517,69,YDR518W,7,0.259,0.199,0.008
518,69,YBR283C,7,0.259,0.191,0.077
519,69,YIL005W,5,0.185,0.129,0.001
520,69,YLR292C,5,0.185,0.135,0.000
521,69,YBR171W,5,0.185,0.135,0.000
522,69,YDR086C,6,0.222,0.154,0.005
523,69,YPL094C,8,0.296,0.221,0.010
524,70,YDL020C,1,0.500,0.500,0.000
525,70,YGL017W,1,0.500,0.500,0.000
526,71,YML007W,2,1.000,0.577,0.000
527,71,YIR037W,2,1.000,0.577,0.000
528,71,YBR216C,2,1.000,0.577,0.000
529,72,YPR108W,37,0.841,0.166,0.003
530,72,YOR362C,37,0.841,0.164,0.006
531,72,YFR052W,37,0.841,0.165,0.003
532,72,YPR103W,37,0.841,0.164,0.006
533,72,YER094C,37,0.841,0.164,0.006
534,72,YDL097C,37,0.841,0.165,0.003
535,72,YDR394W,38,0.864,0.167,0.005
536,72,YER021W,37,0.841,0.165,0.003
537,72,YOR261C,38,0.864,0.167,0.005
538,72,YDR427W,37,0.841,0.165,0.003
539,72,YIL075C,37,0.841,0.165,0.003
540,72,YLR421C,38,0.864,0.167,0.005
541,72,YBL041W,37,0.841,0.164,0.006
542,72,YOL038W,37,0.841,0.161,0.011
543,72,YOR157C,37,0.841,0.161,0.011
544,72,YGL011C,37,0.841,0.164,0.006
545,72,YFR004W,37,0.841,0.165,0.004
546,72,YHR027C,38,0.864,0.167,0.005
547,73,YJR066W,10,0.833,0.302,0.037
548,73,YHR186C,10,0.833,0.302,0.037
549,73,YJL058C,10,0.833,0.315,0.016
550,73,YNL006W,10,0.833,0.315,0.016
551,73,YOL078W,10,0.833,0.315,0.016
552,73,YMR068W,10,0.833,0.315,0.016
553,73,YER093C,10,0.833,0.315,0.016
554,74,YDR466W,1,1.000,0.707,0.000
555,74,YBL105C,1,1.000,0.707,0.000
556,75,YCR021C,2,1.000,0.577,0.000
557,75,YCR027C,2,1.000,0.577,0.000
558,75,YNL270C,2,1.000,0.577,0.000
559,76,YDL047W,0,1.000,1.000,0.000
