,cluster,protein,degree,eigenvector_centrality,betweenness_centrality,degree_centrality
143,19,YHR070W,4,0.447,0.000,1.000
144,20,YKL024C,6,0.312,0.045,0.500
145,20,YKL216W,6,0.344,0.013,0.500
146,20,YEL021W,12,0.494,0.604,1.000
147,20,YML106W,6,0.344,0.013,0.500
148,21,YER005W,0,1.000,0.000,1.000
149,22,YLR245C,3,0.470,0.083,0.750
150,22,YPR062W,4,0.559,0.333,1.000
151,22,YDR400W,3,0.470,0.083,0.750
152,23,YGL189C,151,0.085,0.001,0.938
153,23,YLR388W,151,0.084,0.001,0.938
154,23,YML063W,150,0.084,0.001,0.932
155,23,YHR203C,150,0.084,0.001,0.932
156,23,YER074W,152,0.085,0.001,0.944
157,23,YPL131W,151,0.085,0.001,0.938
158,23,YNL178W,156,0.085,0.004,0.969
159,23,YGR027C,151,0.085,0.001,0.938
160,23,YBR181C,151,0.084,0.001,0.938
161,23,YPL081W,150,0.084,0.001,0.932
162,23,YDR450W,150,0.084,0.001,0.932
163,23,YGR118W,152,0.085,0.002,0.944
164,23,YCR031C,152,0.085,0.002,0.944
165,23,YDR064W,153,0.085,0.002,0.950
166,23,YBR031W,150,0.084,0.002,0.932
167,23,YGL123W,155,0.085,0.004,0.963
168,23,YER102W,154,0.085,0.002,0.957
169,23,YJR123W,155,0.085,0.008,0.963
170,23,YOR167C,151,0.084,0.001,0.938
171,23,YBR048W,152,0.085,0.002,0.944
172,23,YOR096W,151,0.084,0.002,0.938
173,23,YLR264W,151,0.084,0.001,0.938
